Game,Engine,Extensions,Version,APIClass,Class Version,Path,Size
LIJ2,NXG,Character Definition,18,Character Definition,None,CHARS\AIRATTACKCAR\AIRATTACKCAR.CD,2.86KB
LIJ2,NXG,Animation Set,18,Character Anim Set,None,CHARS\AIRATTACKCAR\AIRATTACKCAR_DEFAULT.AS,4.40KB
LIJ2,NXG,Character Definition,18,Character Definition,None,CHARS\AIRCANNON\AIRCANNON.CD,2.84KB
LIJ2,NXG,Animation Set,18,Character Anim Set,None,CHARS\AIRCANNON\AIRCANNON_DEFAULT.AS,4.44KB
LIJ2,NXG,Character Definition,18,Character Definition,None,CHARS\ALIEN\ALIEN.CD,3.33KB
LIJ2,NXG,Character Definition,18,Character Definition,None,CHARS\ALIEN\ALIEN_BUILDER.CD,3.28KB
LIJ2,NXG,Animation Set,18,Character Anim Set,None,CHARS\ALIEN\ALIEN_BUILDER_DEFAULT.AS,4.45KB
LIJ2,NXG,Animation Set,18,Character Anim Set,None,CHARS\ALIEN\ALIEN_DEFAULT.AS,29.71KB
LIJ2,NXG,Character Definition,18,Character Definition,None,CHARS\ALIEN\ALIEN_ELECTRICIAN.CD,3.25KB
LIJ2,NXG,Animation Set,18,Character Anim Set,None,CHARS\ALIEN\ALIEN_ELECTRICIAN_DEFAULT.AS,4.46KB
LIJ2,NXG,Animation Set,18,Character Anim Set,None,CHARS\ALIEN\ALIEN_TITLES.AS,10.32KB
LIJ2,NXG,Character Definition,18,Character Definition,None,CHARS\ALIEN\ALIEN_TITLES.CD,2.32KB
LIJ2,NXG,Character Definition,18,Character Definition,None,CHARS\ARCCUTTRUCK\ARCCUTTRUCK.CD,2.85KB
LIJ2,NXG,Animation Set,18,Character Anim Set,None,CHARS\ARCCUTTRUCK\ARCCUTTRUCK_DEFAULT.AS,5.22KB
LIJ2,NXG,Character Definition,18,Character Definition,None,CHARS\ARGACAT\ARGACAT.CD,2.32KB
LIJ2,NXG,Animation Set,18,Character Anim Set,None,CHARS\ARGACAT\ARGACAT_DEFAULT.AS,5.96KB
LIJ2,NXG,Character Definition,18,Character Definition,None,CHARS\ARMYINTELMEN\ARMYINTELMAN_A.CD,3.52KB
LIJ2,NXG,Animation Set,18,Character Anim Set,None,CHARS\ARMYINTELMEN\ARMYINTELMAN_A_DEFAULT.AS,4.46KB
LIJ2,NXG,Character Definition,18,Character Definition,None,CHARS\ARMYINTELMEN\ARMYINTELMAN_B.CD,3.52KB
LIJ2,NXG,Animation Set,18,Character Anim Set,None,CHARS\ARMYINTELMEN\ARMYINTELMAN_B_DEFAULT.AS,4.46KB
LIJ2,NXG,Character Definition,18,Character Definition,None,CHARS\ARMYINTELMEN\JANITOR.CD,4.30KB
LIJ2,NXG,Animation Set,18,Character Anim Set,None,CHARS\ARMYINTELMEN\JANITOR_DEFAULT.AS,4.44KB
LIJ2,NXG,Character Definition,18,Character Definition,None,CHARS\BALLS\BIGBALL.CD,2.83KB
LIJ2,NXG,Animation Set,18,Character Anim Set,None,CHARS\BALLS\BIGBALL_DEFAULT.AS,4.44KB
LIJ2,NXG,Character Definition,18,Character Definition,None,CHARS\BALLS\SMALLBALL.CD,2.84KB
LIJ2,NXG,Animation Set,18,Character Anim Set,None,CHARS\BALLS\SMALLBALL_DEFAULT.AS,4.44KB
LIJ2,NXG,Character Definition,18,Character Definition,None,CHARS\BANTUWIND\BANTUWIND.CD,2.84KB
LIJ2,NXG,Animation Set,18,Character Anim Set,None,CHARS\BANTUWIND\BANTUWIND_DEFAULT.AS,6.01KB
LIJ2,NXG,Character Definition,18,Character Definition,None,CHARS\BARRANCA\BARRANCA.CD,4.21KB
